'麻辣变形计 EP18（迪丽热巴，马可，邵兵）',22
'麻辣变形计 EP06（迪丽热巴，马可，邵兵）',19
'下海 EP01（张嘉译，刘蓓）',24
'Love In Hanyuan EP10 Chinese Drama 【Eng Sub】| NewTV Drama',19
'愛來的剛好 EP28（韩栋、江铠同、李威）',23
'Love In Hanyuan EP17 Chinese Drama 【Eng Sub】| NewTV Drama',20
'铁齿铜牙纪晓岚第1部 EP36（张国立、王刚、张铁林、袁莉）',22
'《她很漂亮》 第10集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',25
'【Eng Sub】Secret History of Princess Taiping EP13 ( Jia Jingwen，Zheng Shuang)太平公主秘史',19
'麻辣变形计 EP04（迪丽热巴，马可，邵兵）',19
'20150428 天仙配  01',20
'【Eng Sub】Secret History of Princess Taiping EP23 ( Jia Jingwen，Zheng Shuang)太平公主秘史',19
'《她很漂亮》 第37集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',23
'愛來的剛好 EP37（韩栋、江铠同、李威）',20
'《她很漂亮》 第7集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',22
'Love In Hanyuan EP19 Chinese Drama 【Eng Sub】| NewTV Drama',18
'【Eng Sub】Inference Notes EP01（Zhang Zifeng，Hou Minghao）推理笔记',18
'【Eng Sub】Secret History of Princess Taiping EP28 ( Jia Jingwen，Zheng Shuang)太平公主秘史',20
'铁齿铜牙纪晓岚第1部 EP31（张国立、王刚、张铁林、袁莉）',29
'愛來的剛好 EP30（韩栋、江铠同、李威）',23
'铁齿铜牙纪晓岚第1部 EP30（张国立、王刚、张铁林、袁莉）',25
'愛來的剛好 EP11（韩栋、江铠同、李威）',23
'《她很漂亮》 第9集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',26
'愛來的剛好 EP12（韩栋、江铠同、李威）',22
'铁齿铜牙纪晓岚第3部 EP17（张国立、张铁林、王刚、袁莉）',21
'麻辣变形计 EP19（迪丽热巴，马可，邵兵）',19
'大唐情史 EP02（聂远、秦岚、沈傲君、唐国强、潘粤明）',21
'愛來的剛好 EP22（韩栋、江铠同、李威）',20
'铁齿铜牙纪晓岚第1部 EP37（张国立、王刚、张铁林、袁莉）',20
'Love Just Come EP34 Chinese Drama 【Eng Sub】| NewTV Drama',17
'麻辣变形计 EP07（迪丽热巴，马可，邵兵）',20
'愛來的剛好 EP47（韩栋、江铠同、李威）',19
'Love In Hanyuan EP15 Chinese Drama 【Eng Sub】| NewTV Drama',17
'Love In Hanyuan EP21 Chinese Drama 【Eng Sub】| NewTV Drama',16
'Love In Hanyuan EP13 Chinese Drama 【Eng Sub】| NewTV Drama',17
'幸福小丈夫 EP22（陈英俊、黄娟）古装贺岁喜剧',19
'Love Just Come EP58 Chinese Drama 【Eng Sub】| NewTV Drama',17
'Love Just Come EP40 Chinese Drama 【Eng Sub】| NewTV Drama',17
'Love Just Come EP57 Chinese Drama 【Eng Sub】| NewTV Drama',16
'愛來的剛好 EP20（韩栋、江铠同、李威）',18
'太平公主秘史 EP02（贾静雯、郑爽、李湘、张翰、袁弘、刘雨欣）',23
'愛來的剛好 EP06（韩栋、江铠同、李威）',18
'《她很漂亮》 第20集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',23
'愛來的剛好 EP38（韩栋、江铠同、李威）',20
'薛平贵与王宝钏 02',16
'愛來的剛好 EP36（韩栋、江铠同、李威）',18
'愛來的剛好 EP45（韩栋、江铠同、李威）',20
'【Eng Sub】Secret History of Princess Taiping EP14 ( Jia Jingwen，Zheng Shuang)太平公主秘史',15
'宰相刘罗锅 EP10（李保田、张国立、王刚、邓婕）',17
'《她很漂亮》 第30集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',16
'《她很漂亮》 第39集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',21
'愛來的剛好 EP49（韩栋、江铠同、李威）',20
'【Eng Sub】Secret History of Princess Taiping EP16 ( Jia Jingwen，Zheng Shuang)太平公主秘史',16
'《她很漂亮》 第23集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',21
'宋轶67套民国旗袍秀 这种白白瘦瘦的妹子穿旗袍真是美啊~',15
'铁齿铜牙纪晓岚第1部 EP33（张国立、王刚、张铁林、袁莉）',18
'愛來的剛好 EP46（韩栋、江铠同、李威）',16
'Love In Hanyuan EP11 Chinese Drama 【Eng Sub】| NewTV Drama',18
'愛來的剛好 EP39（韩栋、江铠同、李威）',21
'铁齿铜牙纪晓岚第1部 EP32（张国立、王刚、张铁林、袁莉）',22
'《她很漂亮》 第27集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',19
'《她很漂亮》 第14集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',21
'Love In Hanyuan EP22 Chinese Drama 【Eng Sub】| NewTV Drama',15
'Love Just Come EP50 Chinese Drama 【Eng Sub】| NewTV Drama',14
'【Eng Sub】Hero Dog EP02 （Zhang Yunlong、Wang Yang）神犬小七',14
'《她很漂亮》 第11集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',20
'宰相刘罗锅 EP07（李保田、张国立、王刚、邓婕）',17
'愛來的剛好 EP16（韩栋、江铠同、李威）',18
'铁齿铜牙纪晓岚第3部 EP22（张国立、王刚、张铁林、袁莉）',19
'宰相刘罗锅 EP22（李保田、张国立、王刚、邓婕）',14
'【Eng Sub】Secret History of Princess Taiping EP21 ( Jia Jingwen，Zheng Shuang)太平公主秘史',15
'愛來的剛好 EP42（韩栋、江铠同、李威）',18
'Love In Hanyuan EP32 Chinese Drama 【Eng Sub】| NewTV Drama',16
'Love In Hanyuan EP41 Chinese Drama 【Eng Sub】| NewTV Drama',14
'Love Just Come EP09 Chinese Drama 【Eng Sub】| NewTV Drama',16
'【Eng Sub】Secret History of Princess Taiping EP15 ( Jia Jingwen，Zheng Shuang)太平公主秘史',14
'宰相刘罗锅 EP03（李保田、张国立、王刚、邓婕）',16
'铁齿铜牙纪晓岚第1部 EP04集（张国立、王刚、张铁林、袁莉）',16
'铁齿铜牙纪晓岚第1部 EP40（张国立、王刚、张铁林、袁莉）',17
'《她很漂亮》 第21集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',17
'愛來的剛好 EP33（韩栋、江铠同、李威）',17
'宰相刘罗锅 EP23（李保田、张国立、王刚、邓婕）',15
'愛來的剛好 EP15（韩栋、江铠同、李威）',16
'愛來的剛好 EP48（韩栋、江铠同、李威）',14
'《她很漂亮》 第19集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',17
'薛平贵与王宝钏 EP47（陈浩民，馨子，宣萱，张亮）',16
'Love In Hanyuan EP37 Chinese Drama 【Eng Sub】| NewTV Drama',14
'神犬小七season2 第3集预告',13
'铁齿铜牙纪晓岚第1部 EP05（张国立、王刚、张铁林、袁莉）',14
'铁齿铜牙纪晓岚第3部 EP01（张国立、张铁林、王刚、袁莉）',16
'Love Just Come EP56 Chinese Drama 【Eng Sub】| NewTV Drama',14
'【Eng Sub】Secret History of Princess Taiping EP25 ( Jia Jingwen，Zheng Shuang)太平公主秘史',12
'愛來的剛好 EP24（韩栋、江铠同、李威）',18
'宰相刘罗锅 EP21（李保田、张国立、王刚、邓婕）',18
'Love In Hanyuan EP36 Chinese Drama 【Eng Sub】| NewTV Drama',13
'《她很漂亮》 第40集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',20
'Love In Hanyuan EP25 Chinese Drama 【Eng Sub】| NewTV Drama',13
'宰相刘罗锅 EP06（李保田、张国立、王刚、邓婕）',16
'夜隼 EP01（黄觉，刘德凯）',16
'Love Just Come EP26 Chinese Drama 【Eng Sub】| NewTV Drama',12
'幸福小丈夫 EP23（陈英俊、黄娟）古装贺岁喜剧',18
'愛來的剛好 EP26（韩栋、江铠同、李威）',13
'Love In Hanyuan EP26 Chinese Drama 【Eng Sub】| NewTV Drama',12
'愛來的剛好 EP31（韩栋、江铠同、李威）',15
'Love In Hanyuan EP20 Chinese Drama 【Eng Sub】| NewTV Drama',14
'Love Just Come EP53 Chinese Drama 【Eng Sub】| NewTV Drama',12
'铁齿铜牙纪晓岚第3部 EP02（张国立、王刚、张铁林、袁莉）',12
'【壮志高飞】主题曲《飞行时刻》燃爆了！任远机长带我们去“拥抱彩虹',13
'愛來的剛好 EP29（韩栋、江铠同、李威）',16
'宰相刘罗锅 EP26（李保田、张国立、王刚、邓婕）',20
'愛來的剛好 EP43（韩栋、江铠同、李威）',12
'愛來的剛好 EP25（韩栋、江铠同、李威）',19
'小楼又东风 EP29（严屹宽，宋轶，朱梓骁）',13
'Secret History of Princess Taiping EP45 ( Jia Jingwen，Zheng Shuang，Yuan Hong，Li Xiang )太平公主秘史',12
'幸福小丈夫 EP24（陈英俊、黄娟）古装贺岁喜剧',16
'铁齿铜牙纪晓岚第1部 EP35（张国立、王刚、张铁林、袁莉）',13
'愛來的剛好 EP40（韩栋、江铠同、李威）',13
'铁齿铜牙纪晓岚第1部 EP21（张国立、王刚、张铁林、袁莉）',14
'铁齿铜牙纪晓岚第3部EP29（张国立、张铁林、王刚、袁莉）',13
'《她很漂亮》 第15集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',14
'愛來的剛好 EP27（韩栋、江铠同、李威）',14
'宰相刘罗锅 EP13（李保田、张国立、王刚、邓婕）',13
'薛平贵与王宝钏 EP06（陈浩民，馨子，宣萱，张亮）',12
'Love In Hanyuan EP38 Chinese Drama 【Eng Sub】| NewTV Drama',15
'Love Just Come EP38 Chinese Drama 【Eng Sub】| NewTV Drama',15
'小楼又东风 EP46（严屹宽，宋轶，朱梓骁）',13
'《她很漂亮》 第13集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',17
'薛平贵与王宝钏 EP22（陈浩民，馨子，宣萱，张亮）',11
'Love Just Come EP39 Chinese Drama 【Eng Sub】| NewTV Drama',11
'铁齿铜牙纪晓岚第1部 EP11（张国立、王刚、张铁林、袁莉）',9
'铁齿铜牙纪晓岚第3部 EP19（张国立、张铁林、王刚、袁莉）',15
'铁齿铜牙纪晓岚第1部 EP17（张国立、王刚、张铁林、袁莉）',17
'幸福小丈夫 EP20（陈英俊、黄娟）古装贺岁喜剧',18
'宰相刘罗锅 EP17（李保田、张国立、王刚、邓婕）',13
'Love In Hanyuan EP24 Chinese Drama 【Eng Sub】| NewTV Drama',11
'女生更衣室换衣服被看光......',13
'铁齿铜牙纪晓岚第3部 EP03集（张国立、张铁林、王刚、袁莉）',13
'太平公主秘史 EP07（贾静雯、郑爽、李湘、张翰、袁弘、刘雨欣）',13
'愛來的剛好 EP17（韩栋、江铠同、李威）',13
'铁齿铜牙纪晓岚第1部 EP07（张国立、王刚、张铁林、袁莉）',13
'宰相刘罗锅 EP15（李保田、张国立、王刚、邓婕）',17
'《她很漂亮》精彩花絮：晓维得知伶俐怀孕想要挽回  晓娜忙前忙后累到头晕（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）| NewTV热播剧场',11
'《她很漂亮》 第35集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',13
'薛平贵与王宝钏 EP01（陈浩民，馨子，宣萱，张亮）',15
'《她很漂亮》 第31集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',13
'薛平贵与王宝钏 03',13
'霸道总裁和嗲精小娇妻的停电羞耻play 苏炸了',12
'Love In Hanyuan EP33 Chinese Drama 【Eng Sub】| NewTV Drama',11
'【Eng Sub】Secret History of Princess Taiping EP17 ( Jia Jingwen，Zheng Shuang)太平公主秘史',11
'《她很漂亮》 第18集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',13
'中国远征军 EP01（黄志忠 张丰毅 柯蓝）',12
'幸福小丈夫 EP07（陈英俊、黄娟）古装贺岁喜剧',15
'宰相刘罗锅 EP11（李保田、张国立、王刚、邓婕）',14
'《她很漂亮》 第22集  She is Beautiful（张歆艺，郭京飞，陈哲远，朱泳腾，梁大维）【字幕版】| NewTV热播剧场',11
